order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00036,36,195,CUST_0195,11/25/2023,2023-10-26T14:06:00.000Z,PROD_064,108,9,5,59.13,397.10,281.49,67.08,8.14,6.17,27.32,returned,,paypal,7169 Main St,,
ORD_00037,37,461,CUST_0461,2023-11-21,2023-09-12T07:40:00.000Z,PROD_110,183,8,1,55.67,41.86,474.91,786.33,0.00,45.13,7.55,processing,pending,cash,1956 Pine Rd,Special delivery instructions,TRK369630
ORD_00038,38,231,CUST_0231,,2023-03-16T05:41:00.000Z,PROD_166,23,6,3,105.51,295.86,1030.38,313.13,10.02,10.64,6.04,returned,pending,cash,7384 Pine Rd,,
ORD_00039,39,392,CUST_0392,2023-12-10,2023-04-12T11:03:00.000Z,PROD_183,148,3,5,348.57,21.68,408.41,534.60,0.00,24.81,0.00,processing,processing,debit_card,9923 Pine Rd,,TRK724189
ORD_00040,40,128,CUST_0128,8/8/2023,,PROD_006,4,7,4,499.48,235.21,154.67,773.58,8.54,26.34,14.66,SHIPPED,returned,credit_card,8372 Main St,,
ORD_00041,41,311,CUST_0311,2023-05-12,2023-07-23T00:58:00.000Z,PROD_028,166,7,1,33.90,178.20,518.18,824.78,22.75,17.09,0.00,processing,processing,paypal,8574 Pine Rd,,TRK549473
ORD_00042,42,214,CUST_0214,4/27/2023,2023-02-11T23:36:00.000Z,PROD_030,122,4,4,261.87,77.01,708.98,357.47,19.81,25.39,0.00,pending,SHIPPED,bank_transfer,9557 Main St,,
ORD_00043,43,215,CUST_0215,2023-06-15,2023-12-20T10:09:00.000Z,PROD_164,167,4,1,486.69,402.13,518.68,513.74,0.00,41.41,0.00,pending,pending,credit_card,1933 Main St,,TRK193627
ORD_00044,44,62,CUST_0062,3/6/2023,2023-01-16T17:04:00.000Z,PROD_193,186,5,1,338.28,387.11,987.28,536.33,10.52,47.93,0.00,returned,returned,paypal,7529 Main St,,
ORD_00045,45,180,CUST_0180,8/11/2023,2023-05-02T08:01:00.000Z,PROD_126,88,6,3,192.38,362.98,454.21,678.31,23.42,27.97,0.00,pending,returned,debit_card,606 Pine Rd,Special delivery instructions,TRK791608
ORD_00046,46,370,CUST_0370,9/25/2023,2023-04-22T09:31:00.000Z,PROD_127,147,5,1,57.09,303.56,217.01,118.37,14.71,21.47,0.00,pending,CANCELLED,paypal,4641 Pine Rd,,TRK562081
ORD_00047,47,14,CUST_0014,2023-05-17,,PROD_018,39,2,1,283.33,386.27,307.03,199.87,9.47,21.27,19.18,pending,processing,bank_transfer,6947 Main St,,TRK280613
ORD_00048,48,375,CUST_0375,7/4/2023,2023-07-12T05:48:00.000Z,PROD_083,45,2,4,58.58,248.27,448.14,443.93,0.00,5.05,28.09,returned,pending,bank_transfer,384 Oak Ave,,TRK161641
ORD_00049,49,20,CUST_0020,2023-05-26,2023-05-20T00:08:00.000Z,PROD_094,99,4,2,472.76,18.68,513.51,457.49,10.66,17.54,37.64,,pending,paypal,4530 Oak Ave,,TRK812783
ORD_00050,50,362,CUST_0362,2023-08-11,2023-12-22T04:00:00.000Z,PROD_137,77,3,1,94.38,251.50,705.85,225.49,5.89,6.87,0.00,processing,,credit_card,1083 Pine Rd,Special delivery instructions,TRK629290
ORD_00051,51,48,CUST_0048,9/14/2023,2023-09-01T18:08:00.000Z,PROD_129,178,8,4,492.49,266.68,732.29,160.08,10.61,9.75,0.00,pending,CANCELLED,debit_card,4811 Oak Ave,Special delivery instructions,
ORD_00052,52,222,CUST_0222,2023-06-02,2023-08-28T06:28:00.000Z,PROD_104,73,8,5,322.76,88.56,664.55,489.95,23.51,15.44,31.21,,SHIPPED,cash,8100 Oak Ave,,TRK469956
ORD_00053,53,428,CUST_0428,6/21/2023,2023-11-24T13:49:00.000Z,PROD_054,41,2,2,40.99,279.41,923.54,389.20,13.35,29.94,0.00,CANCELLED,returned,cash,188 Oak Ave,,TRK967148
ORD_00054,54,69,CUST_0069,8/10/2023,2023-09-05T14:58:00.000Z,PROD_181,137,9,3,305.05,366.75,242.96,562.77,6.53,40.27,0.00,SHIPPED,processing,bank_transfer,7889 Pine Rd,,TRK841642
ORD_00055,55,281,CUST_0281,10/12/2023,2023-06-15T23:38:00.000Z,PROD_024,174,4,1,490.38,402.15,450.16,465.29,15.87,11.05,9.85,pending,CANCELLED,paypal,6866 Pine Rd,,TRK400971
ORD_00056,56,240,CUST_0240,10/7/2023,2023-11-03T01:56:00.000Z,PROD_126,69,8,5,286.90,310.23,1029.33,171.40,23.03,4.62,23.00,pending,delivered,credit_card,9457 Pine Rd,,
ORD_00057,57,317,CUST_0317,6/6/2023,,PROD_031,130,1,2,42.25,167.94,279.84,795.68,15.79,35.79,0.00,CANCELLED,returned,bank_transfer,5478 Pine Rd,,
ORD_00058,58,375,CUST_0375,7/12/2023,2023-07-04T05:20:00.000Z,PROD_193,40,1,2,406.25,386.34,117.05,597.29,0.00,37.21,0.00,pending,pending,cash,1846 Oak Ave,,TRK164465
ORD_00059,59,238,CUST_0238,1/12/2023,,PROD_124,34,5,2,143.35,85.31,120.19,328.45,19.47,30.02,0.00,CANCELLED,,paypal,3731 Oak Ave,,TRK265953
ORD_00060,60,210,CUST_0210,6/8/2023,,PROD_036,171,7,4,31.71,102.39,262.50,491.24,24.43,7.17,0.00,delivered,processing,debit_card,7445 Oak Ave,,
ORD_00061,61,417,CUST_0417,2023-03-07,,PROD_034,198,10,5,215.22,288.45,814.63,61.32,6.69,32.12,0.00,delivered,SHIPPED,paypal,5879 Oak Ave,,
ORD_00062,62,232,CUST_0232,4/1/2023,2023-02-02T10:28:00.000Z,PROD_114,146,5,2,52.48,178.80,307.42,752.09,14.59,13.02,29.37,delivered,,debit_card,8386 Oak Ave,,
ORD_00063,63,135,CUST_0135,2023-09-03,,PROD_183,52,2,5,338.90,38.39,800.27,288.66,24.27,11.09,0.00,returned,CANCELLED,debit_card,3688 Oak Ave,,
ORD_00064,64,89,CUST_0089,3/5/2023,2023-08-06T13:10:00.000Z,PROD_120,27,9,4,296.33,321.47,643.32,248.44,0.00,10.85,0.00,returned,pending,debit_card,3457 Main St,,TRK664814
ORD_00065,65,475,CUST_0475,1/12/2023,2023-11-18T01:35:00.000Z,PROD_010,86,8,5,144.28,247.07,224.90,692.47,0.00,19.23,0.00,processing,CANCELLED,debit_card,2780 Oak Ave,,TRK705181
ORD_00066,66,424,CUST_0424,2/1/2023,,PROD_099,121,5,5,336.34,352.64,196.80,763.37,12.54,24.02,0.00,returned,pending,cash,3306 Pine Rd,,TRK306960
ORD_00067,67,304,CUST_0304,1/19/2023,,PROD_050,126,2,5,168.34,136.02,991.97,145.47,11.84,34.66,0.00,processing,returned,paypal,5453 Oak Ave,,
ORD_00068,68,116,CUST_0116,2023-03-07,,PROD_143,18,7,5,105.33,106.91,344.34,339.57,23.26,26.58,0.00,processing,CANCELLED,credit_card,818 Oak Ave,,TRK244890
ORD_00069,69,397,CUST_0397,1/15/2023,2023-03-16T12:57:00.000Z,PROD_171,58,2,5,229.14,186.75,116.49,290.38,0.00,22.70,0.00,pending,SHIPPED,paypal,4145 Main St,,TRK241280
ORD_00070,70,493,CUST_0493,2023-08-17,2023-01-03T03:15:00.000Z,PROD_083,105,5,1,293.19,312.20,633.43,364.09,10.09,46.35,0.00,processing,SHIPPED,debit_card,1060 Main St,,
ORD_00071,71,98,CUST_0098,8/10/2023,2023-10-27T20:37:00.000Z,PROD_080,41,1,2,377.53,59.19,1027.43,204.63,15.87,23.50,29.79,processing,CANCELLED,cash,4590 Oak Ave,,
ORD_00072,72,86,CUST_0086,6/21/2023,2023-04-21T23:53:00.000Z,PROD_032,137,8,5,82.01,321.21,536.33,830.77,0.00,47.19,3.50,CANCELLED,SHIPPED,cash,4605 Pine Rd,,TRK306229
ORD_00073,73,481,CUST_0481,2023-09-10,2023-02-08T03:24:00.000Z,PROD_112,198,2,1,208.00,384.17,880.24,91.97,16.21,6.16,0.00,returned,,credit_card,4667 Oak Ave,,TRK920530
ORD_00074,74,328,CUST_0328,,2023-12-07T04:29:00.000Z,PROD_134,102,6,5,242.77,333.29,87.42,119.40,0.00,38.32,22.56,returned,processing,bank_transfer,7628 Main St,,
ORD_00075,75,96,CUST_0096,2023-09-06,2023-07-09T10:13:00.000Z,PROD_103,193,4,3,431.44,362.21,350.33,557.39,0.00,29.36,45.05,returned,delivered,cash,6430 Main St,,TRK416816
ORD_00076,76,62,CUST_0062,7/20/2023,2023-08-14T17:38:00.000Z,PROD_116,37,3,5,128.72,168.55,249.14,117.39,7.76,8.89,11.28,,processing,paypal,5507 Pine Rd,,TRK506068
ORD_00077,77,365,CUST_0365,,,PROD_050,162,6,4,326.30,262.72,698.41,147.90,9.94,43.74,0.00,returned,CANCELLED,credit_card,2343 Main St,Special delivery instructions,TRK221883
ORD_00078,78,392,CUST_0392,2023-08-15,2023-06-07T11:21:00.000Z,PROD_188,96,7,1,144.64,287.71,701.26,827.31,21.82,19.05,0.00,pending,returned,paypal,4701 Pine Rd,,TRK984470
ORD_00079,79,301,CUST_0301,2023-12-11,2023-01-03T19:15:00.000Z,PROD_185,146,3,2,409.84,283.50,375.56,408.51,23.83,49.22,0.00,,delivered,paypal,1525 Oak Ave,,TRK707591
ORD_00080,80,478,CUST_0478,2023-11-18,2023-10-04T04:47:00.000Z,PROD_051,39,2,1,303.06,303.48,254.92,594.53,16.29,24.47,48.47,pending,delivered,debit_card,5409 Pine Rd,,
ORD_00081,81,364,CUST_0364,2023-05-31,2023-08-19T09:53:00.000Z,PROD_095,159,10,3,459.97,69.30,364.20,223.68,21.77,14.73,16.35,,,paypal,2679 Main St,,
ORD_00082,82,343,CUST_0343,5/23/2023,,PROD_021,176,9,4,388.47,191.02,297.22,597.93,0.00,32.82,0.00,processing,SHIPPED,bank_transfer,5424 Pine Rd,,TRK960228
ORD_00083,83,392,CUST_0392,8/18/2023,2023-10-11T19:38:00.000Z,PROD_092,71,8,4,253.08,293.10,586.98,116.53,19.68,36.75,44.09,delivered,CANCELLED,paypal,4914 Oak Ave,Special delivery instructions,TRK576321
ORD_00084,84,204,CUST_0204,10/3/2023,2023-07-07T04:43:00.000Z,PROD_086,5,3,4,236.45,227.76,235.69,183.30,0.00,43.72,0.00,SHIPPED,CANCELLED,cash,344 Pine Rd,,TRK337508
ORD_00085,85,335,CUST_0335,7/22/2023,2023-12-19T21:34:00.000Z,PROD_103,88,7,5,19.23,265.67,361.32,604.59,23.39,41.74,0.00,pending,CANCELLED,paypal,9094 Pine Rd,,TRK754123
ORD_00086,86,289,CUST_0289,8/22/2023,2023-12-05T20:20:00.000Z,PROD_001,137,9,4,488.59,25.04,920.51,562.04,7.65,42.36,45.79,pending,CANCELLED,paypal,193 Pine Rd,,TRK767881
ORD_00087,87,148,CUST_0148,7/10/2023,,PROD_004,99,7,4,211.38,113.00,1031.81,834.67,24.91,25.99,0.00,processing,delivered,bank_transfer,5187 Pine Rd,Special delivery instructions,
ORD_00088,88,326,CUST_0326,2023-10-09,2023-01-13T05:08:00.000Z,PROD_103,41,9,2,333.16,405.90,548.96,302.89,24.72,10.16,0.00,returned,,debit_card,4884 Main St,,TRK347480
ORD_00089,89,239,CUST_0239,1/22/2023,2023-11-17T16:01:00.000Z,PROD_079,159,7,1,266.06,123.06,1007.35,316.20,18.89,6.19,0.00,delivered,processing,debit_card,7975 Pine Rd,Special delivery instructions,TRK713660
ORD_00090,90,160,CUST_0160,7/15/2023,,PROD_157,70,4,1,343.48,210.56,922.46,644.48,0.00,9.21,0.00,,processing,credit_card,3334 Oak Ave,,TRK757393
ORD_00091,91,437,CUST_0437,2023-07-03,,PROD_011,182,6,4,50.65,317.93,689.71,366.99,7.56,43.65,15.44,delivered,pending,credit_card,3110 Pine Rd,Special delivery instructions,TRK779591
ORD_00092,92,82,CUST_0082,2023-06-21,2023-09-04T14:37:00.000Z,PROD_129,12,5,3,116.73,370.24,91.73,654.26,0.00,48.46,0.00,delivered,CANCELLED,credit_card,2573 Main St,Special delivery instructions,
ORD_00093,93,250,CUST_0250,6/8/2023,2023-11-20T10:25:00.000Z,PROD_151,116,1,2,299.15,38.33,797.15,833.07,0.00,42.94,40.10,delivered,pending,cash,3021 Oak Ave,,TRK776167
ORD_00094,94,208,CUST_0208,8/17/2023,2023-07-06T23:42:00.000Z,PROD_179,177,10,1,250.99,334.49,186.88,454.57,12.62,39.89,0.00,processing,,paypal,7455 Pine Rd,,TRK180948
ORD_00095,95,493,CUST_0493,2/9/2023,2023-06-09T18:20:00.000Z,PROD_079,158,9,1,233.33,104.92,872.82,89.68,13.36,6.85,41.60,returned,returned,paypal,3177 Main St,Special delivery instructions,
ORD_00096,96,168,CUST_0168,2023-04-11,2023-10-26T15:39:00.000Z,PROD_066,1,1,4,325.73,158.15,469.69,101.33,0.00,38.20,0.00,SHIPPED,delivered,bank_transfer,3095 Pine Rd,,TRK606813
ORD_00097,97,451,CUST_0451,2023-06-04,2023-06-17T12:11:00.000Z,PROD_147,74,8,4,277.66,323.46,99.40,273.19,11.42,41.43,0.00,processing,,paypal,7636 Main St,,TRK309246
ORD_00098,98,286,CUST_0286,2023-10-24,2023-03-04T15:41:00.000Z,PROD_141,80,5,4,472.91,339.63,1037.14,443.07,11.15,17.98,0.00,returned,processing,credit_card,5190 Main St,,
ORD_00099,99,481,CUST_0481,2023-07-11,2023-10-25T10:52:00.000Z,PROD_132,42,1,3,91.21,387.82,599.17,553.71,8.57,15.16,0.00,SHIPPED,SHIPPED,cash,5647 Pine Rd,,TRK888589
ORD_00100,100,220,CUST_0220,2023-08-18,2023-10-15T04:06:00.000Z,PROD_013,159,8,3,191.55,319.73,102.04,215.90,23.82,47.22,0.00,delivered,pending,paypal,152 Main St,Special delivery instructions,
ORD_00101,101,208,CUST_0208,12/26/2023,2023-11-08T05:24:00.000Z,PROD_194,141,4,1,447.21,265.28,75.97,362.03,23.69,31.40,7.92,returned,CANCELLED,paypal,3350 Pine Rd,,TRK817263
ORD_00102,102,140,CUST_0140,6/15/2023,2023-03-11T00:37:00.000Z,PROD_069,186,2,3,196.94,143.31,894.36,830.92,24.17,30.95,4.26,returned,returned,cash,3145 Pine Rd,,
ORD_00103,103,33,CUST_0033,2023-05-11,2023-07-28T14:20:00.000Z,PROD_133,44,8,5,97.81,342.58,653.95,449.42,17.97,36.52,0.00,SHIPPED,,bank_transfer,9376 Pine Rd,Special delivery instructions,
ORD_00104,104,498,CUST_0498,2/9/2023,2023-06-04T06:22:00.000Z,PROD_136,29,4,3,190.57,231.48,377.58,304.07,24.72,6.63,0.00,SHIPPED,processing,paypal,6376 Main St,,
ORD_00105,105,168,CUST_0168,11/17/2023,2023-10-27T02:41:00.000Z,PROD_079,169,7,3,145.80,367.97,635.46,704.08,20.33,43.98,0.00,processing,delivered,credit_card,5914 Oak Ave,,TRK343908
ORD_00106,106,356,CUST_0356,11/26/2023,,PROD_075,181,4,1,42.22,227.18,72.62,261.63,0.00,21.14,49.35,pending,CANCELLED,credit_card,3528 Pine Rd,,
ORD_00107,107,449,CUST_0449,9/6/2023,2023-07-06T23:40:00.000Z,PROD_157,146,3,2,196.57,125.83,486.40,169.66,0.00,6.43,0.00,CANCELLED,CANCELLED,debit_card,4995 Oak Ave,,TRK608474
ORD_00108,108,89,CUST_0089,10/17/2023,,PROD_194,142,8,5,285.75,146.28,992.30,63.13,17.80,7.83,36.81,processing,delivered,debit_card,695 Pine Rd,,TRK466399
ORD_00109,109,223,CUST_0223,2023-11-17,2023-11-18T18:44:00.000Z,PROD_184,17,7,2,114.74,298.29,548.47,93.83,22.72,18.38,27.81,returned,,paypal,4956 Pine Rd,,TRK866416
ORD_00110,110,368,CUST_0368,4/11/2023,,PROD_113,64,3,1,425.41,146.15,372.06,669.15,18.02,29.24,0.00,SHIPPED,processing,bank_transfer,9524 Oak Ave,,TRK378324
ORD_00111,111,197,CUST_0197,2023-08-06,2023-08-08T03:21:00.000Z,PROD_072,119,4,4,416.37,63.25,244.96,358.14,13.73,43.16,0.00,pending,delivered,cash,1339 Main St,,TRK203286
ORD_00112,112,333,CUST_0333,,2023-08-14T10:20:00.000Z,PROD_051,162,3,2,361.23,200.91,150.41,205.92,0.00,34.41,49.65,SHIPPED,SHIPPED,cash,6976 Oak Ave,,TRK481362
ORD_00113,113,164,CUST_0164,2023-04-15,2023-08-16T21:22:00.000Z,PROD_166,85,6,5,147.59,273.68,630.04,85.98,0.00,15.88,9.92,processing,CANCELLED,cash,4816 Pine Rd,Special delivery instructions,
ORD_00114,114,462,CUST_0462,2023-04-24,2023-09-19T15:28:00.000Z,PROD_164,105,9,2,55.96,363.98,392.37,61.06,5.82,26.85,0.00,processing,delivered,cash,3396 Oak Ave,Special delivery instructions,TRK344445
ORD_00115,115,11,CUST_0011,7/3/2023,2023-01-27T16:35:00.000Z,PROD_019,39,1,5,58.57,24.13,913.90,114.99,0.00,5.67,15.04,processing,pending,credit_card,4993 Pine Rd,,TRK119938
ORD_00116,116,344,CUST_0344,2023-02-17,,PROD_068,50,7,3,449.24,149.22,468.17,253.95,0.00,39.41,0.00,pending,CANCELLED,credit_card,8376 Pine Rd,,
ORD_00117,117,142,CUST_0142,2/3/2023,2023-05-12T20:03:00.000Z,PROD_091,95,8,1,160.57,73.52,128.72,203.28,0.00,37.62,0.00,SHIPPED,SHIPPED,credit_card,2906 Pine Rd,,
ORD_00118,118,107,CUST_0107,2/14/2023,2023-10-22T19:15:00.000Z,PROD_156,115,3,2,111.29,116.64,248.67,618.14,0.00,19.86,26.81,returned,pending,credit_card,9180 Main St,,
ORD_00119,119,200,CUST_0200,11/28/2023,,PROD_029,19,5,3,84.16,129.87,241.98,655.28,0.00,24.40,41.87,returned,CANCELLED,bank_transfer,8529 Main St,,TRK988949
ORD_00120,120,459,CUST_0459,,2023-08-22T12:56:00.000Z,PROD_110,6,2,4,86.80,168.15,648.31,110.73,18.99,22.14,11.87,returned,processing,bank_transfer,2168 Oak Ave,,
ORD_00121,121,117,CUST_0117,9/11/2023,2023-04-19T20:22:00.000Z,PROD_050,39,7,1,309.25,97.77,116.38,772.88,24.57,23.09,0.00,returned,CANCELLED,debit_card,2499 Pine Rd,,TRK314203
ORD_00122,122,497,CUST_0497,5/6/2023,,PROD_162,134,2,1,354.41,95.59,538.52,516.44,0.00,6.77,0.00,returned,SHIPPED,paypal,9153 Main St,,
ORD_00123,123,437,CUST_0437,2023-05-25,2023-02-20T15:46:00.000Z,PROD_093,48,6,5,480.04,337.12,497.14,440.44,17.52,35.67,22.10,CANCELLED,delivered,cash,2394 Main St,,TRK505202
ORD_00124,124,181,CUST_0181,2023-11-27,2023-03-26T23:11:00.000Z,PROD_113,98,9,2,335.96,314.32,205.34,365.42,12.69,36.98,29.71,delivered,delivered,cash,2710 Oak Ave,Special delivery instructions,TRK521144
ORD_00125,125,56,CUST_0056,10/20/2023,,PROD_135,112,6,3,220.88,46.31,962.50,239.40,0.00,18.72,41.24,CANCELLED,CANCELLED,credit_card,6296 Oak Ave,,
ORD_00126,126,132,CUST_0132,1/7/2023,2023-03-01T08:46:00.000Z,PROD_086,97,5,3,56.29,273.17,87.06,202.11,17.47,42.10,0.00,returned,SHIPPED,bank_transfer,9014 Pine Rd,,TRK545828
ORD_00127,127,78,CUST_0078,4/6/2023,2023-11-01T15:57:00.000Z,PROD_088,79,6,4,81.30,204.51,675.63,456.58,0.00,47.49,0.00,SHIPPED,,credit_card,3111 Main St,,
ORD_00128,128,8,CUST_0008,,2023-07-03T18:23:00.000Z,PROD_071,139,3,2,27.07,389.84,943.30,689.32,17.73,11.87,45.59,pending,,paypal,9760 Main St,Special delivery instructions,TRK114212
ORD_00129,129,108,CUST_0108,2023-11-18,2023-12-04T05:26:00.000Z,PROD_010,176,5,5,238.24,77.79,269.85,782.37,15.67,32.58,0.00,processing,,paypal,7676 Oak Ave,,
ORD_00130,130,167,CUST_0167,1/2/2023,,PROD_155,144,2,4,346.50,188.07,509.54,169.16,23.63,46.41,5.43,SHIPPED,delivered,paypal,2543 Oak Ave,Special delivery instructions,TRK189741
